;[mm];[1/m2];[mm];[-];[-];[-];[mm/h]
5;900;75;300;0.1478;0.1456;0.0851;11.38
5;900;75;300;0.1087;0.1773;0.1197;11.41
5;900;75;300;0.168;0.1287;0.0706;7.3
5;900;75;300;0.1348;0.1604;0.0952;9.49
5;900;75;300;0.1723;0.1525;0.0889;9.23
5;900;75;300;0.1791;0.3364;0.1249;9.02
5;900;75;300;0.2011;0.2292;0.0886;5.53
5;900;75;300;0.1486;0.1307;0.0821;10.88
5;900;75;300;0.1267;0.1282;0.094;13.9
5;900;75;300;0.1127;0.1291;0.099;22.52
5;900;75;300;0.1964;0.1384;0.0846;11.04
5;900;75;300;0.2187;0.1165;0.0692;4.37
5;900;75;300;0.227;0.1168;0.0594;3.52
5;900;75;300;0.1886;0.1425;0.0831;10.18
5;900;75;300;0.0688;0.0971;0.1607;79.84
5;900;75;300;0.0768;0.1092;0.1307;41.75
5;900;75;300;0.1068;0.1209;0.1099;26.3
5;900;75;300;0.1316;0.1376;0.0892;11.48
5;900;75;300;0.0409;0.0998;0.1403;42.18
5;900;75;300;0.0406;0.0714;0.1397;48.69
5;900;75;300;0.081;0.1323;0.1494;29
5;900;75;300;0.0797;0.1789;0.1194;17.08
5;900;75;300;0.2351;0.109;0.0952;9.26
5;900;75;300;0.2359;0.1362;0.0905;9.92
5;900;75;300;0.1807;0.1498;0.0913;9.47
5;900;75;300;0.1478;0.1456;0.0851;11.38
5;900;75;300;0.1087;0.1773;0.1197;11.41
5;900;75;300;0.168;0.1287;0.0706;7.3
5;900;75;300;0.1348;0.1604;0.0952;9.49
5;900;75;300;0.1723;0.1525;0.0889;9.23
5;900;75;300;0.1791;0.3364;0.1249;9.02
5;900;75;300;0.2011;0.2292;0.0886;5.53
5;900;75;300;0.1486;0.1307;0.0821;10.88
5;900;75;300;0.1267;0.1282;0.094;13.9
5;900;75;300;0.1127;0.1291;0.099;22.52
5;900;75;300;0.1964;0.1384;0.0846;11.04
5;900;75;300;0.2187;0.1165;0.0692;4.37
5;900;75;300;0.227;0.1168;0.0594;3.52
5;900;75;300;0.1886;0.1425;0.0831;10.18
5;900;75;300;0.0688;0.0971;0.1607;79.84
5;900;75;300;0.0768;0.1092;0.1307;41.75
5;900;75;300;0.1068;0.1209;0.1099;26.3
5;900;75;300;0.1316;0.1376;0.0892;11.48
5;900;75;300;0.0409;0.0998;0.1403;42.18
5;900;75;300;0.0406;0.0714;0.1397;48.69
5;900;75;300;0.081;0.1323;0.1494;29
5;900;75;300;0.0797;0.1789;0.1194;17.08
5;900;75;300;0.2351;0.109;0.0952;9.26
5;900;75;300;0.2359;0.1362;0.0905;9.92
5;900;75;300;0.1807;0.1498;0.0913;9.47
5;900;75;300;0.1478;0.1456;0.0851;11.38
5;900;75;300;0.1087;0.1773;0.1197;11.41
5;900;75;300;0.168;0.1287;0.0706;7.3
5;900;75;300;0.1348;0.1604;0.0952;9.49
5;900;75;300;0.1723;0.1525;0.0889;9.23
5;900;75;300;0.1791;0.3364;0.1249;9.02
5;900;75;300;0.2011;0.2292;0.0886;5.53
5;900;75;300;0.1486;0.1307;0.0821;10.88
5;900;75;300;0.1267;0.1282;0.094;13.9
5;900;75;300;0.1127;0.1291;0.099;22.52
5;900;75;300;0.1964;0.1384;0.0846;11.04
5;900;75;300;0.2187;0.1165;0.0692;4.37
5;900;75;300;0.227;0.1168;0.0594;3.52
5;900;75;300;0.1886;0.1425;0.0831;10.18
5;900;75;300;0.0688;0.0971;0.1607;79.84
5;900;75;300;0.0768;0.1092;0.1307;41.75
5;900;75;300;0.1068;0.1209;0.1099;26.3
5;900;75;300;0.1316;0.1376;0.0892;11.48
5;900;75;300;0.0409;0.0998;0.1403;42.18
5;900;75;300;0.0406;0.0714;0.1397;48.69
5;900;75;300;0.081;0.1323;0.1494;29
5;900;75;300;0.0797;0.1789;0.1194;17.08
5;900;75;300;0.2351;0.109;0.0952;9.26
5;900;75;300;0.2359;0.1362;0.0905;9.92
5;900;75;300;0.1807;0.1498;0.0913;9.47
5;900;75;300;0.1478;0.1456;0.0851;11.38
5;900;75;300;0.1087;0.1773;0.1197;11.41
5;900;75;300;0.168;0.1287;0.0706;7.3
5;900;75;300;0.1348;0.1604;0.0952;9.49
5;900;75;300;0.1723;0.1525;0.0889;9.23
5;900;75;300;0.1791;0.3364;0.1249;9.02
5;900;75;300;0.2011;0.2292;0.0886;5.53
5;900;75;300;0.1486;0.1307;0.0821;10.88
5;900;75;300;0.1267;0.1282;0.094;13.9
5;900;75;300;0.1127;0.1291;0.099;22.52
5;900;75;300;0.1964;0.1384;0.0846;11.04
5;900;75;300;0.2187;0.1165;0.0692;4.37
5;900;75;300;0.227;0.1168;0.0594;3.52
5;900;75;300;0.1886;0.1425;0.0831;10.18
5;900;75;300;0.0688;0.0971;0.1607;79.84
5;900;75;300;0.0768;0.1092;0.1307;41.75
5;900;75;300;0.1068;0.1209;0.1099;26.3
5;900;75;300;0.1316;0.1376;0.0892;11.48
5;900;75;300;0.0409;0.0998;0.1403;42.18
5;900;75;300;0.0406;0.0714;0.1397;48.69
5;900;75;300;0.081;0.1323;0.1494;29
5;900;75;300;0.0797;0.1789;0.1194;17.08
5;900;75;300;0.2351;0.109;0.0952;9.26
5;900;75;300;0.2359;0.1362;0.0905;9.92
5;900;75;300;0.1807;0.1498;0.0913;9.47
5;900;75;300;0.1478;0.1456;0.0851;11.38
5;900;75;300;0.1087;0.1773;0.1197;11.41
5;900;75;300;0.168;0.1287;0.0706;7.3
5;900;75;300;0.1348;0.1604;0.0952;9.49
5;900;75;300;0.1723;0.1525;0.0889;9.23
5;900;75;300;0.1791;0.3364;0.1249;9.02
5;900;75;300;0.2011;0.2292;0.0886;5.53
5;900;75;300;0.1486;0.1307;0.0821;10.88
5;900;75;300;0.1267;0.1282;0.094;13.9
5;900;75;300;0.1127;0.1291;0.099;22.52
5;900;75;300;0.1964;0.1384;0.0846;11.04
5;900;75;300;0.2187;0.1165;0.0692;4.37
5;900;75;300;0.227;0.1168;0.0594;3.52
5;900;75;300;0.1886;0.1425;0.0831;10.18
5;900;75;300;0.0688;0.0971;0.1607;79.84
5;900;75;300;0.0768;0.1092;0.1307;41.75
5;900;75;300;0.1068;0.1209;0.1099;26.3
5;900;75;300;0.1316;0.1376;0.0892;11.48
5;900;75;300;0.0409;0.0998;0.1403;42.18
5;900;75;300;0.0406;0.0714;0.1397;48.69
5;900;75;300;0.081;0.1323;0.1494;29
5;900;75;300;0.0797;0.1789;0.1194;17.08
5;900;75;300;0.2351;0.109;0.0952;9.26
5;900;75;300;0.2359;0.1362;0.0905;9.92
5;900;75;300;0.1807;0.1498;0.0913;9.47
5;900;75;300;0.1478;0.1456;0.0851;11.38
5;900;75;300;0.1087;0.1773;0.1197;11.41
5;900;75;300;0.168;0.1287;0.0706;7.3
5;900;75;300;0.1348;0.1604;0.0952;9.49
5;900;75;300;0.1723;0.1525;0.0889;9.23
5;900;75;300;0.1791;0.3364;0.1249;9.02
5;900;75;300;0.2011;0.2292;0.0886;5.53
5;900;75;300;0.1486;0.1307;0.0821;10.88
5;900;75;300;0.1267;0.1282;0.094;13.9
5;900;75;300;0.1127;0.1291;0.099;22.52
5;900;75;300;0.1964;0.1384;0.0846;11.04
5;900;75;300;0.2187;0.1165;0.0692;4.37
5;900;75;300;0.227;0.1168;0.0594;3.52
5;900;75;300;0.1886;0.1425;0.0831;10.18
5;900;75;300;0.0688;0.0971;0.1607;79.84
5;900;75;300;0.0768;0.1092;0.1307;41.75
5;900;75;300;0.1068;0.1209;0.1099;26.3
5;900;75;300;0.1316;0.1376;0.0892;11.48
5;900;75;300;0.0409;0.0998;0.1403;42.18
5;900;75;300;0.0406;0.0714;0.1397;48.69
5;900;75;300;0.081;0.1323;0.1494;29
5;900;75;300;0.0797;0.1789;0.1194;17.08
5;900;75;300;0.2351;0.109;0.0952;9.26
5;900;75;300;0.2359;0.1362;0.0905;9.92
5;900;75;300;0.1807;0.1498;0.0913;9.47
5;900;75;300;0.1478;0.1456;0.0851;11.38
5;900;75;300;0.1087;0.1773;0.1197;11.41
5;900;75;300;0.168;0.1287;0.0706;7.3
5;900;75;300;0.1348;0.1604;0.0952;9.49
5;900;75;300;0.1723;0.1525;0.0889;9.23
5;900;75;300;0.2;0.1;0.1;5
