[1/m2];[mm];[-];[-];[-];[mm/hour];[mm/hour];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-]
172;451;0.073286906;0.15428917;0.22860384;8.092225;2500;1.0552121;0.8764342;1.1210722;1.1822226;1.2480158;1.1106193;1.3019572;1.2065581;1.9973353;0.71596086;1.1807761;0.7840821;0.81842357;1.2827382;0.34384920728888335
91;1144;0.03914918;0.1381178;0.25910348;18.281738;2500;1.5613682;0.797761;1.7162381;0.75923055;0.8474783;1.1361154;0.9264134;1.1769743;1.4102027;0.919859;0.9404534;1.2789571;1.0500798;0.9644779;0.4214594452719763
183;1016;0.02871838;0.19219019;0.11896843;18.871305;2500;1.6940447;0.74941546;1.7532451;0.77035654;1.8225416;1.2595397;1.7910455;1.2005538;1.0578095;1.0417179;1.4131893;1.0999384;1.4869175;1.1602477;0.11326413977638915
136;359;0.05182903;0.20750423;0.24483585;16.252277;2500;1.2282797;0.92246073;1.8758042;1.1419033;1.7549872;1.2581106;1.7934791;1.094676;1.8865123;1.0902623;1.7904221;0.89654535;1.4580157;1.0622212;0.34203772698277757
277;640;0.044375245;0.17944491;0.21572563;8.279759;2500;1.7975248;1.0092729;1.9322342;0.7180733;0.8723576;1.0718032;1.0705568;0.75972664;0.95780045;1.2563097;0.8430534;0.95883393;1.0017612;1.0027747;0.30062553001212255
93;238;0.06624771;0.1307417;0.15485053;3.383709;2500;1.3670375;1.1675823;1.424737;0.8241678;1.6116866;0.7737793;1.4152449;1.0179075;1.8921148;0.95748025;1.2244948;0.9133769;1.4010834;0.9852897;0.2079314109629274
206;340;0.053204115;0.19674538;0.14770983;15.998783;2500;1.8338253;1.0646387;1.4392904;0.9592163;1.2162122;1.0469481;1.7513958;1.0346314;1.2008;0.95735925;1.754776;0.72838426;1.0702544;1.1498598;0.16161718986826978
25;87;0.06819931;0.14933516;0.157654;16.941723;2500;1.0574783;1.1946771;1.2547779;1.280448;1.0209891;0.90873444;1.6775643;0.8180052;1.609567;1.0876287;1.1323109;1.0710956;1.6332518;0.98273116;0.20271662026504697
287;774;0.08483384;0.2095892;0.12457455;14.582041;2500;1.8747697;0.8396795;1.732863;1.0143927;1.0852581;1.2755327;1.4241048;1.2521386;1.3748082;0.7117166;1.0314832;0.7011045;1.459409;1.2871448;0.11702434132797923
294;791;0.0418913;0.16092978;0.15465099;7.4104357;2500;1.4396741;1.1770406;1.1232003;0.7855083;0.91077495;1.144816;1.3401407;1.1603858;1.6107671;1.1044458;1.8305663;0.7723891;1.6031739;0.9260456;0.19074175191823275
224;1007;0.10214416;0.1554789;0.114250585;13.396094;2500;1.3144436;0.73097277;1.5673721;1.0501306;0.97803074;1.0706332;0.891703;1.1119019;1.1676793;0.9270633;0.918772;0.78826874;1.5483488;0.9197017;0.11832990561643017
144;1047;0.085615225;0.14764558;0.23454778;14.343166;2500;1.0824317;0.86631167;1.4737444;0.9258417;1.3638415;0.8595386;1.1818527;0.99639;1.9140985;0.823436;1.0067701;0.74048895;1.4643942;0.78933156;0.3612597994391455
73;200;0.060145758;0.101488955;0.20245901;17.86118;2500;0.92369986;0.96624106;1.1359974;0.7349075;1.7864584;0.89882135;1.4614064;1.2942305;1.006424;0.8391554;1.9422659;0.97502595;0.9919192;0.9049091;0.3296529224346512
245;894;0.060281932;0.16018176;0.1255362;3.6439254;2500;1.1494534;1.2743031;1.1105546;1.0023452;1.4521935;0.8677867;1.1008703;0.8169672;1.1956522;0.7656158;0.9273943;0.90025395;0.9605091;0.78582734;0.13669880642216714
223;170;0.034987222;0.11938733;0.23943909;6.0126743;2500;1.2771857;0.7544337;0.9929818;1.0814675;1.4518625;0.99658173;1.9540061;1.0300288;1.5222961;0.90533805;1.6739175;0.81029934;1.4604465;0.88242203;0.39474622961558387
74;454;0.0902871;0.17818765;0.13560233;8.670273;2500;1.518948;0.8575509;1.6801437;1.2762649;1.7706242;0.96519107;0.8862544;0.8548751;1.5415016;1.0940553;1.7932979;1.272932;1.0632478;1.2135689;0.14741683154931876
140;623;0.12583221;0.1343473;0.19897714;16.421356;2500;1.6679914;0.7914542;1.7871305;1.1352988;1.8385394;1.0222586;1.8195975;0.7147452;1.785339;1.1904523;0.8007012;0.7515301;1.3468637;0.8684699;0.29618104077776053
144;68;0.043110494;0.11446627;0.28402117;17.980324;2500;0.8513122;0.9551752;1.018112;1.1683431;1.5514299;0.7849494;1.1141447;0.70746523;0.8331452;0.87155914;1.2894785;0.78581583;1.5873774;1.0238382;0.49779608721398744
249;196;0.08235873;0.14259547;0.25218382;6.289862;2500;1.9417293;0.8973278;1.8895471;1.2471546;1.352014;0.96642154;1.5563704;1.2777932;1.3150673;0.9964128;1.482685;0.75577193;1.8742639;0.75702256;0.4028349855279476
208;332;0.081484266;0.21274664;0.21682769;10.578735;2500;1.0983623;0.75525916;1.0473658;0.8940949;1.0791951;1.219091;1.3295164;1.0194181;1.3734555;1.049959;1.6398721;0.9542399;1.3869313;1.2390168;0.2836786963109183
196;161;0.09115296;0.10154285;0.21698385;12.5465355;2500;1.6143357;0.9887468;0.9282655;1.0392905;0.95111895;0.76524025;1.9207407;1.1698409;1.0952771;1.0078648;1.3254414;1.2562727;0.89168334;1.1819545;0.3614245330303833
198;1121;0.0588106;0.2268349;0.11283851;4.143887;2500;1.7680331;0.99132675;1.8536946;1.2827883;1.5502872;0.7004812;1.3587885;1.1764333;1.5546993;1.2473518;1.4420614;0.86605245;1.5774353;1.2816097;0.09321599158358329
88;353;0.048926037;0.12373786;0.18540208;16.055134;2500;1.300775;1.0781317;1.907668;1.0317327;1.8478795;1.0643699;1.8082858;0.73213685;1.8856771;1.0715785;1.3291647;1.105486;1.2294816;1.0822726;0.2754026065534192
117;606;0.04491373;0.106076635;0.16142435;9.947128;2500;1.325258;1.2045916;0.9970188;0.7783766;1.8541155;0.8501305;1.9709551;1.1856924;1.3001599;1.2605036;0.90267503;1.1324708;1.2497076;0.8933552;0.23793395383089055
23;1195;0.089870505;0.1397077;0.19492716;17.998905;2500;0.8573823;1.2840041;1.0137802;1.2749095;1.3081566;1.0191602;1.2611921;0.986994;1.1089532;1.1504997;1.024802;1.2716599;1.5038741;0.84296227;0.28397041196082307
238;684;0.07222129;0.113665216;0.29028484;11.418562;2500;1.2897689;0.76232284;1.1514797;0.9117071;0.996131;0.77790856;1.2162923;0.95042133;1.4850029;0.7848876;1.836723;0.80185586;1.334812;0.8987138;0.5125824527799708
135;499;0.11156298;0.17032064;0.25730336;16.828194;2500;1.9245661;0.9030496;0.8724749;0.8512813;1.889549;1.2767497;1.1081322;1.2278384;1.2959342;0.7846689;1.541514;0.9501812;1.3522004;1.1506685;0.3924070082278448
137;1116;0.098721914;0.15236638;0.22199535;1.9326978;2500;1.2430702;1.2833962;1.3032719;1.0782993;1.4977176;1.0986983;1.0124397;1.2276726;1.5875715;1.1787714;1.1276371;1.2129624;1.3120408;0.9082544;0.33140980701375483
81;274;0.0728492;0.18018435;0.24093793;9.338344;2500;1.876757;1.0405507;1.6622818;0.9115024;1.241306;0.90371394;1.656541;1.1631664;1.9570216;1.2309631;1.2832596;0.7907507;1.083246;0.8573592;0.35149644382663514
70;223;0.040717386;0.21027468;0.24611993;8.963666;2500;1.641071;0.93814296;0.90096974;0.9467872;0.94502044;1.2257463;1.4738715;0.98827904;1.4366392;1.1460156;1.7986317;1.1861674;1.9230782;1.093261;0.34293932687556683
180;647;0.1128701;0.13897356;0.19127463;4.684815;2500;1.8618484;0.9609308;1.1611787;0.82940936;1.5438379;1.1537414;1.4283279;0.92617303;1.8340043;0.85186124;1.1286203;0.93035984;1.0753896;1.2103326;0.27691402021447464
77;518;0.060257975;0.20180926;0.27327147;11.671114;2500;1.0350422;1.2056005;1.228735;0.7227033;1.1174865;0.7969094;1.9672576;0.78526187;1.2392097;0.9847442;0.95010006;0.9237964;1.9451305;1.1164075;0.4035578371295778
28;958;0.036101446;0.21438171;0.2234612;15.259549;2500;1.6024691;1.2182485;1.9300354;0.7437393;1.609602;1.2654032;1.9467154;1.2835802;1.7197553;0.85141855;1.651387;0.93841606;1.6869198;1.2287272;0.29572124674909733
232;59;0.041687425;0.23345387;0.24760677;10.373012;2500;0.91932595;0.8770628;1.6939844;0.8661975;1.7073448;0.73690903;1.2992364;0.7006542;1.1093795;0.8541318;1.7341985;0.9596061;1.52308;1.0892738;0.332486821243347
119;745;0.069625504;0.16409281;0.10220975;16.807148;2500;1.3848726;0.8853032;1.2425994;0.95370615;1.0843078;1.2809976;1.5768815;1.180427;1.9481795;1.2105829;1.1742337;0.72299963;1.7803261;0.81704146;0.09431422998819562
120;855;0.05477856;0.14782467;0.2075835;6.5666127;2500;1.669113;1.1198899;1.0476024;1.1959379;1.1803284;0.8198452;1.3990117;0.8975522;1.1857201;1.2756405;1.3360027;0.717547;1.6165427;1.0859209;0.30460400766526496
135;1166;0.080400236;0.13962683;0.1728369;6.6686974;2500;0.9940939;0.74051976;1.8429787;0.82860637;1.3676391;0.74585485;0.98379683;0.766356;1.6281549;0.9007371;1.5320783;1.1865983;1.2505308;1.025081;0.23873081883803157
246;183;0.07447734;0.14155792;0.11108066;4.169753;2500;1.9505093;1.2075788;1.1419072;1.0926108;1.441949;1.040396;1.0983654;0.7265578;1.3180269;0.802643;1.0812703;0.9913807;1.6580948;0.73872787;0.1183079731872778
103;303;0.028575221;0.17130072;0.22922668;15.898578;2500;1.3637841;0.7041544;1.5497428;1.2556018;1.6507168;0.9622939;1.3700799;0.7829019;1.7349099;0.762037;1.4130986;1.2131628;1.6468327;1.0622464;0.3333447086811924
229;1119;0.046434328;0.1658859;0.28575206;3.8119256;2500;1.3370591;0.97662115;1.629658;0.9438462;0.88440806;0.93721515;1.8652486;0.75801605;1.5166934;0.88297457;1.6613057;0.9124343;1.2184215;0.8010866;0.4561450634101975
282;760;0.09525286;0.11249515;0.24655114;3.8455725;2500;1.863173;1.1755177;1.7471048;1.2873156;1.6918957;1.2397616;1.955933;1.084537;1.7279396;1.0777147;1.4837172;0.9386432;0.8302718;0.8462909;0.41653193325564714
201;55;0.06778062;0.09889042;0.11597824;1.1335316;2500;1.8322352;1.248562;1.541112;1.0824862;1.9021283;0.70511854;1.2484577;1.1710683;0.8878331;0.906736;1.6485682;1.2873725;1.1141723;1.1932473;0.14920629868635915
135;102;0.12307255;0.1515103;0.11133814;8.377096;2500;1.9001263;1.0761887;1.2821794;1.2742199;1.5741466;0.8697556;0.8024172;0.73813045;0.91704893;1.2669779;1.2767497;0.8379973;0.88893086;0.7357041;0.11471220503527817
226;944;0.028664215;0.23480563;0.16900644;9.301168;2500;1.6037581;1.0184612;0.9784462;0.8769741;1.1657798;0.84799796;1.0667022;0.9446931;0.8383243;0.7694358;1.0359108;1.2959472;1.1126217;0.7004186;0.18450389243898724
142;685;0.09326032;0.107370496;0.14770956;9.571192;2500;1.5943733;1.1183544;1.039733;1.0930082;1.6791797;0.8083259;1.6501;0.7703651;1.8081812;0.9698628;1.3882244;0.70156413;0.83710545;1.0910503;0.20841921975541203
130;682;0.1296716;0.1620982;0.10551442;15.557228;2500;1.0756745;1.205268;1.504248;0.795302;1.1825707;0.7981339;1.9159656;0.85074896;1.735904;1.1061628;1.0412589;1.0563537;1.3674465;1.27117;0.10061147138130899
162;1057;0.08213957;0.21026482;0.108014405;8.879232;2500;1.6907226;0.7077804;1.3826857;1.248055;0.89060026;0.8561316;1.1154044;1.0716242;1.6489279;0.9384912;1.6419585;0.8463722;1.2065448;0.7045734;0.09002549285315012
102;296;0.10289065;0.1756173;0.1690293;1.0809655;2500;1.5458201;1.0637618;1.2587141;0.90262973;1.0817461;0.7943981;1.101047;1.1777319;0.94707924;1.1264879;0.87868196;0.9464929;1.3950976;0.82895774;0.21081581692501447
40;200;0.03223956;0.12216636;0.12670776;12.579487;2500;1.2116882;1.1601323;1.4388199;0.79517406;1.6872483;0.82716537;1.2739738;0.77254933;1.9173605;0.97105044;1.9221803;1.1022259;1.8445119;1.0128825;0.15710259459458267
130;740;0.07475235;0.13093035;0.13893327;4.253357;2500;1.9599072;1.2552617;1.8306068;1.0175959;1.2426264;1.0396016;1.1978076;0.79171944;1.7372361;1.1630076;1.4491867;1.2232945;1.3536189;1.293609;0.17620689384604465
45;1060;0.09170476;0.12689571;0.27390373;1.4756749;2500;1.3834455;0.9397506;0.850928;0.8004057;1.9380238;0.8032636;1.6864601;0.70719814;1.7118526;0.8650495;0.95520365;0.812325;1.4989626;1.0011363;0.46361015461068383
129;325;0.07564646;0.18216097;0.2987356;15.7701025;2500;1.6680413;1.2410405;0.9647695;0.8680359;1.7630209;1.266609;0.89858776;0.8780227;1.5342273;1.2218604;1.7014306;1.1678796;0.8722474;1.037491;0.47109669862725323
171;820;0.027295498;0.21792635;0.26091585;5.670858;2500;1.59916;1.0780232;0.801559;0.9289517;1.0095779;0.883492;1.4285632;1.2193426;1.7001836;0.80609083;0.8138002;0.9053266;1.9905059;1.0627427;0.3680107476247528
279;191;0.06710279;0.184654;0.14655337;15.350508;2500;0.8126391;0.9000368;1.1837085;0.788139;1.7843338;1.034149;1.6839069;0.9530473;0.86085606;0.84220153;1.9818416;0.8857514;1.6888652;0.7606705;0.16454011346984415
20;214;0.10337988;0.16170211;0.13516837;13.192764;2500;1.3480798;1.2900496;0.9999227;0.72420853;1.9681904;1.1807958;0.9482039;1.161529;1.5874885;0.84736776;1.7734171;1.2398872;1.6400024;1.2558991;0.15367913697044336
190;1082;0.111499935;0.18076539;0.21569513;17.78291;2500;1.5283778;0.73517513;1.1345469;0.9249445;1.7755841;1.1478184;1.1024266;0.8598119;1.3058617;0.7452257;1.1093359;0.9073042;1.1933638;1.0899688;0.2997540428622341
142;150;0.06854286;0.1641834;0.25678244;7.805018;2500;1.9998984;1.2218564;0.89045817;0.8243625;1.6945522;0.7199816;0.83300424;0.7712271;0.9864332;0.9139183;1.432609;0.84516037;1.3681684;0.8180415;0.3958411751519537
15;38;0.14117056;0.14443582;0.2314886;13.351468;2500;0.9852009;1.017016;1.2134951;1.1028293;1.0135434;0.9460044;1.9577719;0.85059124;1.9494705;1.1821378;1.6568397;1.007992;1.578156;0.76415914;0.3572117624414153
82;932;0.03996731;0.23225553;0.26075035;11.796256;2500;1.6183411;1.0508237;1.279891;0.70013326;0.96879405;1.1718253;1.889291;0.7033205;1.9425337;1.1179068;1.2582128;0.89963007;1.6022127;1.106919;0.3591179642236969
44;441;0.03277552;0.16791311;0.19739942;15.872986;2500;1.3239386;1.1994013;1.9112803;1.0886478;1.3713447;1.2554417;1.7442824;1.2568655;1.7934297;1.2735627;1.0142982;1.0566149;0.87130404;1.247497;0.27081260357917974
72;482;0.055316295;0.21673426;0.2975536;7.2573714;2500;1.3646182;1.2562577;1.4852964;1.0260233;1.1207712;1.1191822;1.6658596;1.1819843;1.6526629;0.9726412;1.1370667;0.8305547;0.94284636;0.95358175;0.44355775093364674
89;961;0.07063041;0.09697139;0.25737363;12.390301;2500;0.9900103;1.237277;1.8143005;1.0139834;1.1534057;0.93198794;1.4453429;0.86294055;1.0444121;1.0052935;1.6604697;0.83406055;1.4581466;0.71429247;0.4556096821181256
126;224;0.07041678;0.10339717;0.110188276;11.276596;2500;1.4361484;0.97990084;1.5488465;1.004609;0.90410626;1.0422579;1.7204275;1.280536;1.8088732;0.7885669;1.7886072;1.2870579;1.2629888;1.1762791;0.1351004769075129
163;783;0.122263715;0.17659305;0.17281097;1.8280966;2500;0.855014;1.1272424;1.336267;1.0253499;1.26822;1.1568272;1.4628892;1.2770777;1.2025958;0.8380883;0.89081484;1.1594999;0.9308231;1.1361068;0.21757953279346423
10;383;0.09683275;0.11747054;0.21192418;1.6460991;2500;1.2969269;1.1514037;1.8697188;1.0039512;1.1365961;0.96373796;1.1898737;0.9557764;1.081189;1.2487835;0.8638615;1.0447444;0.992735;0.8826125;0.336670501506837
56;134;0.060724676;0.15836802;0.14483954;18.15706;2500;1.2866229;0.9077946;1.7273006;0.96781904;1.8843428;1.2364752;1.0754489;0.8062963;1.9405854;1.2988167;1.4963737;1.1825409;1.3500762;0.8493942;0.1733293798543436
37;828;0.066558205;0.22609644;0.18067019;13.174481;2500;1.0082252;0.882059;0.83292973;0.90388745;1.8637884;0.8869392;1.0976322;1.2751887;1.0811535;1.114731;1.3822153;0.8035614;1.9955043;1.0434109;0.20901362960045827
169;389;0.069485046;0.13479091;0.22592214;12.649436;2500;1.9971814;1.1929091;1.0642228;0.91786236;1.8188883;1.2664409;1.2199779;1.1174242;1.852905;0.89013326;1.9573319;1.1255119;1.1686515;1.1663942;0.35281148850741245
105;1041;0.048974354;0.13657063;0.21043359;15.118918;2500;1.6549085;1.0214909;1.9985738;0.7582154;1.4946189;1.1216199;0.9529174;0.78902143;1.5035352;1.2204329;1.3194085;1.0318998;1.4074094;1.2662487;0.31861746503448984
169;1103;0.050043736;0.11162953;0.27228996;1.2974607;2500;1.9467788;0.83384335;1.7234817;0.93655306;1.4389728;1.231815;1.8368807;1.2299525;1.0188872;1.10037;0.8523891;1.2642655;1.1795577;0.88431495;0.47441005939655706
74;1020;0.035649154;0.19274382;0.15250225;5.409454;2500;1.6909884;1.2282919;1.2953717;0.994222;1.0041982;1.2770647;1.9342811;0.98761344;1.6844746;0.84679675;1.2110852;0.959831;1.4169605;1.1229308;0.17192694444089054
17;393;0.046527483;0.13342588;0.28422865;13.352379;2500;1.3927008;0.99681884;1.5098358;1.1579849;0.9438268;0.7141648;0.8062474;0.915747;1.5661832;0.9835592;0.90102834;1.0483828;1.3732274;1.2164661;0.4803918396720338
282;291;0.046167906;0.113553;0.16442887;14.649359;2500;1.5352954;1.2232919;1.7258555;0.962922;1.2625126;1.1877987;1.5847605;0.8251944;1.3221823;0.99117506;1.4422555;0.95800185;1.9741338;1.0721723;0.23883872346665655
41;1072;0.036708176;0.23525225;0.28407916;12.962724;2500;1.0014881;0.7988131;1.2702882;1.1619643;1.143044;0.9347095;1.0789908;0.8798043;1.5066162;1.2721452;1.3175442;0.8801036;1.1182697;1.2760797;0.4040263277652588
46;549;0.099205956;0.10008358;0.14965743;8.809286;2500;0.9835151;1.2345885;0.85337603;1.167578;1.4132357;0.8121985;1.5756732;0.8605518;1.3570263;0.70132685;0.9209205;1.1745371;1.3107407;0.98451656;0.21759717763813466
52;852;0.027271574;0.20963694;0.20150861;12.18851;2500;1.3836086;0.94279736;1.540929;0.89606667;1.013157;0.9943088;1.7327824;0.94450265;1.7939131;0.72348034;1.7821019;1.1377449;1.7664958;0.7178694;0.25573219090302396
294;994;0.07751402;0.08818283;0.286448;14.297933;2500;1.0436676;0.8755329;0.9396183;0.99764377;1.6943296;1.0940856;1.711057;1.2913907;1.616193;0.7554452;0.897737;1.2055166;1.2556311;0.9663589;0.5306923323161211
189;340;0.029828439;0.19600897;0.15549973;8.721511;2500;1.7240218;0.92139596;1.0908744;0.89553976;1.9388516;0.7882547;1.2880801;0.7747557;1.3781389;1.2055172;1.4964106;1.1166449;1.0008147;0.7565289;0.1759939574935304
186;151;0.10861178;0.13616423;0.26975048;11.715906;2500;1.1563448;1.0616632;1.4231325;0.74346966;0.96914005;1.2730429;1.9330621;1.2699785;1.7684112;0.79395026;1.2758856;0.898879;1.7991042;0.7451473;0.44626556717876825
296;753;0.06944051;0.14803904;0.20024619;2.500716;2500;0.90481466;0.88024807;1.7562099;1.2128505;1.5557727;1.2326392;1.0527226;0.7878765;1.1229022;0.8308502;1.7381915;1.1671681;1.9318118;1.1423577;0.2892854484607623
35;712;0.035817884;0.1648044;0.18395905;4.221521;2500;1.5024842;1.0861855;1.0695972;1.1923102;1.6910961;1.2849375;1.3891823;0.9949336;1.0108992;0.8853703;1.512692;1.2962154;1.1815103;0.8589841;0.24583661948964008
292;331;0.03785999;0.15878326;0.23273781;15.678909;2500;1.4665383;1.0024352;1.030875;0.75088125;1.3819033;0.87216794;1.5613532;0.7024074;1.2723306;0.845532;1.2807595;1.1152776;1.4588205;1.1294544;0.34927357531383024
69;705;0.040044874;0.1263627;0.13971022;8.22009;2500;1.1133841;1.093302;1.3097314;1.0927465;1.636074;0.98550755;1.3077282;0.7650803;1.8296132;1.2441429;1.7802056;0.8294605;1.893963;0.8013337;0.18031892766078977
190;950;0.06988842;0.097465254;0.231766;15.782696;2500;0.95451397;0.9023734;0.963864;1.2071111;1.0410706;1.2186036;0.8196085;0.70701754;1.7978561;1.2829262;1.3829843;1.0385511;0.9974174;1.1066338;0.3979162287266378
131;426;0.03564061;0.18871383;0.13532527;13.8114195;2500;1.5542575;0.8555907;1.0999452;0.7239928;1.5745741;1.053034;1.8001522;0.75114244;1.5048647;0.9162235;0.988659;1.070186;1.1066036;0.96555775;0.14274674078622004
121;298;0.033634055;0.13719034;0.24217328;7.889549;2500;1.6884232;1.1043248;1.1606694;0.93437374;1.6578265;1.203646;1.8663106;1.183115;1.0453552;1.041323;1.9880418;0.87220144;1.2815747;0.7574294;0.38569818505535897
280;872;0.069199204;0.11431842;0.22212994;15.646187;2500;1.0269005;1.0175745;1.7366976;0.8464607;1.673114;0.70026803;1.608782;0.8952807;1.7609566;0.8765201;1.27576;0.8643263;1.7279209;1.0712428;0.36141398660444246
53;945;0.060383543;0.114339106;0.12797193;3.4008067;2500;1.6950791;0.78543884;1.5959216;0.9850676;1.3350514;1.0125017;1.2691631;0.8413873;1.1110034;1.2744195;1.0047873;1.1831684;1.3784149;0.86337626;0.16399302750743228
299;1145;0.07254905;0.1978236;0.12013681;4.0511875;2500;1.5866433;1.0916958;1.2344973;0.7923369;1.2252184;1.2444414;1.1349287;0.97229916;1.8018225;0.91192985;1.3681673;1.176945;1.665918;0.93361664;0.11338571610873828
119;185;0.027011381;0.19044618;0.22147065;8.773912;2500;1.7294235;0.8661288;1.9357837;0.7203673;0.9388083;1.1590569;0.82392883;0.85501474;0.83380663;1.264272;1.6120652;0.9322601;1.9283267;1.2944852;0.30548384562027303
198;1068;0.075316004;0.15757242;0.124297164;13.46019;2500;0.87668234;0.9186477;1.1312824;0.71259844;0.9698612;0.75440264;1.4235188;1.1303297;1.0122969;0.79347306;1.850364;0.7859481;0.90879184;1.1335552;0.1355501421967638
290;920;0.04551523;0.19192848;0.22501878;6.6575265;2500;1.9592638;1.2131019;1.4096783;1.269222;1.7502667;1.1797974;0.83654505;1.0901852;0.9517207;0.887866;0.87343544;0.9498413;1.7918173;1.1944958;0.31170008528001414
26;845;0.07222943;0.1372283;0.29980433;7.141243;2500;1.5914644;0.8213806;1.5430107;0.74024177;1.7812406;0.8796742;0.9017439;0.80818206;1.8824866;0.7246555;1.7580985;0.82903105;1.771252;0.76504797;0.5112119529961479
277;382;0.040862866;0.15390179;0.12459518;17.372644;2500;1.1105242;0.95847297;1.9467727;0.8308576;1.9229511;1.0817081;1.3913343;0.849187;1.6675929;0.98189425;0.94365674;0.75796765;1.1108804;1.039172;0.13766823774830853
174;36;0.10205193;0.10531489;0.19476217;18.097837;2500;1.8525834;0.7515191;1.826164;1.0756251;1.7359182;0.9203869;1.339527;0.9469209;1.8351544;0.71332705;1.6477282;0.7778878;1.1161904;0.7046278;0.3096739532445631
214;613;0.07740978;0.1528137;0.2848807;18.338205;2500;1.4968904;0.9701833;1.2485468;1.0831211;1.860529;1.2222708;1.5718768;1.2251574;0.9364318;0.793944;1.8554708;0.8138216;1.8332303;0.9546013;0.46494242840695477
53;350;0.066948414;0.13683817;0.28742045;1.4176034;2500;0.99264324;1.2526008;1.4016802;0.7575122;0.9797701;1.2119104;1.7406963;0.9582444;1.3647311;0.92549604;1.0669378;1.1727562;1.2684141;1.0567708;0.48432718338074787
164;354;0.07411429;0.0963781;0.105982214;16.169783;2500;1.8231025;1.0351713;1.3481766;1.0272937;0.947729;1.2576793;1.4335032;0.72871387;1.8303361;1.2597556;1.6804514;1.0614082;1.7005857;1.2875355;0.13077506856917442
205;1113;0.1427417;0.14431134;0.26160154;15.474481;2500;1.6666198;1.2209944;1.166046;0.9751512;1.4334563;1.0242862;1.5452964;0.7092603;1.4640126;0.825942;1.0996788;0.9119906;1.5979744;1.1483262;0.42170887283495023
142;192;0.10697664;0.1528843;0.14770916;5.904787;2500;1.1363964;1.0252414;1.3771597;0.83423084;1.9328189;1.0351319;1.5264361;0.9691475;1.3666637;0.741107;1.0655427;0.7638488;1.5556945;1.1427726;0.18153722946073636
54;1121;0.053989224;0.10595126;0.24931368;5.30599;2500;1.4525367;0.735153;0.9066947;1.1832069;1.845581;0.77494293;1.9307535;1.298116;1.9667687;1.1525646;0.91274357;0.7030566;1.1677271;1.196116;0.4287759424945629
80;609;0.12732266;0.15853235;0.17100063;1.6622697;2500;1.2790275;1.0026754;0.8654252;1.2793726;0.82767624;1.0851486;1.546793;1.0015119;1.4127369;1.1026326;0.89629906;1.1795979;1.0847512;1.2244562;0.22380398031413531
257;1007;0.03028291;0.14528686;0.1449778;16.619307;2500;0.8081739;0.83958644;0.88284373;0.8766721;1.8603541;1.2796767;1.5503223;1.0969297;1.1729426;1.2551676;1.4523809;1.235221;1.1037942;0.9508151;0.18021943614961028
19;347;0.06680101;0.09785852;0.19414435;12.543049;2500;1.3732883;0.95957;0.9627705;0.8235723;0.98353773;1.2144235;1.4461491;1.2145916;0.9505803;1.2084829;1.6570842;0.77649724;1.6706256;1.2944751;0.31467492614402315
215;764;0.06545838;0.11052415;0.13518374;1.3010024;2500;1.0827321;0.8423286;1.1407593;0.91847396;1.9015534;0.92806107;1.7794795;0.8529888;1.0372189;1.2549438;1.3112459;0.7413938;1.3344426;0.75422984;0.18074211674725046
299;672;0.09432251;0.19563256;0.18483908;5.2799287;2500;0.9853004;0.76783615;1.5671891;1.229778;1.5184103;0.85001004;1.906178;0.7063516;1.8544651;1.1470798;1.7608728;1.1342212;1.951067;1.0264583;0.23093182037988602
12;1109;0.08183327;0.101360865;0.17896381;16.784687;2500;0.9111724;0.8270345;1.809481;1.1595296;1.4600185;0.90961796;1.2003773;0.90276873;0.97625697;1.2237946;1.4884446;1.1278024;1.7666093;0.98926777;0.27886757692697245
56;223;0.10289397;0.16515481;0.2925724;12.440298;2500;1.0681121;0.9408014;1.7372608;1.1507442;1.1679966;1.1953704;1.1444267;0.76013637;1.8321444;1.1394038;1.6856931;1.1406621;1.3238524;1.0349411;0.47136686937134686
205;253;0.0953028;0.15115294;0.20842469;17.259872;2500;1.7114054;1.1937863;1.1917171;1.2417333;1.7731203;1.0302876;1.7687703;0.87128425;1.3909792;1.0329535;1.5074952;1.0306019;1.994032;1.2355332;0.3040567496064472
27;1139;0.10564477;0.12208869;0.23941402;3.787404;2500;1.2304922;1.1616604;0.8521103;0.83940923;1.0471388;0.84431756;1.974904;0.9051077;0.8145393;0.7436411;1.9590789;1.2767075;0.8448295;1.2719277;0.3923453514574056
181;126;0.07779066;0.12704839;0.13498782;19.099295;2500;0.9668751;0.72202414;0.86516273;1.2181361;1.5194515;1.060285;1.0785202;0.73822194;1.4810045;0.98657024;1.5802655;0.852556;1.7151226;0.7807695;0.17062184085412668
208;765;0.033143703;0.13079642;0.29946044;4.9412284;2500;1.0034863;1.1661268;1.7573695;1.2503921;1.5789199;0.90050715;0.98170614;0.8834278;1.0891674;1.1378496;0.8907857;1.1241028;1.5106882;0.76980555;0.5164294811028657
180;82;0.04450698;0.21209122;0.19953613;6.766844;2500;1.582791;0.71843874;1.8460958;1.117778;1.0269629;1.0627707;1.6653613;1.1441462;1.3531616;0.9717197;1.8998791;0.97069216;1.7441906;1.1543616;0.2507232364532751
115;101;0.063869566;0.14534765;0.115046166;18.5956;2500;1.2840779;0.74553245;1.9181271;0.94408154;1.5238006;0.91272193;1.0183653;1.0988586;1.9239106;1.2440164;0.90808606;1.1690291;1.6285707;0.93666863;0.12391112449921415
